,Date,Pos,Neg,Tweet_date,text,favorites,retweets,Senti,score
0,2017년 5월 3주,81.60%,10.10%,2017-05-14,"찡찡이가 입주했는데,걱정이 생겼네요. 관저 구석의 유리창문과 미닫이 한지창문 사이의 좁은 틈에 딱새가 새끼 5마리를 키우고 있는데, 제가 당선된 날 부화했다고 합니다. 찡찡이는 양산집에서 때때로 새를 잡아와서 기겁하게 했었거든요. 서로가 서로를 위하고 서로의 아픔을 어루만져주는 대한민국이 새로운 대한민국입니다. 상식과 정의 앞에 손을 내미는 사람들이 많아질수록 숭고한 5.18정신은 현실 속에서 살아숨쉬는 가치로 완성될 것입니다. https://goo.gl/FFcKJQ오늘 5.18 민주화운동 37주년을 맞아, 5.18 묘역에 서니 감회가 매우 깊습니다. 37년 전 그날의 광주는 우리 현대사에서 가장 슬프고 아픈 장면이었습니다. https://goo.gl/FFcKJQ",17444.25,12855.25,[-0.9340166  0.8817393],1
1,2017년 5월 4주,84.10%,10.00%,2017-05-21,"오늘 이 추도식에 대통령으로 참석하겠다고 한 약속을 지킬 수 있게 해주신 것에 대해서도 깊이 감사드립니다. 노무현 대통령님도 오늘만큼은 모든 분들께 고마워하면서, ""야, 기분 좋다!"" 하실 것 같습니다. https://goo.gl/e05GS0 광화문1번가'가 활짝 열립니다. '광화문1번가'는 대한민국 최초의 국민인수위원회가 준비한 프로젝트로 대통령에게 배달되는 국민정책제안 사이트입니다. 새로운 대한민국을 문재인 정부와 함께 만들어주십시오. http://www.gwanghwamoon1st.go.kr오늘 여민관 대통령 집무실에 「대한민국 일자리 상황판」을 설치했습니다. 후보자 시절 ‘당선되면 일자리위원회를 설치하고 집무실에 상황판을 만들어 매일 점검하겠다’는 공약을 실천한 것입니다. 내일부터 청와대 홈페이지에도 공개할 예정입니다. 관저 창틈에 둥지를 틀고 있던 딱새 새끼들이 성장해서 날아갔습니다. 어미가 물어다 주는 먹이를 먹고 독립할 때가 되었네요. 지난 22일에 독립한 딱새 새끼 6마리가 잘 살기를 기원합니다. 덕분에 방안에만 머물렀던 찡찡이의 출입제한 조치가 풀렸네요. 찡찡이에 이어 마루도 양산 집에서 데려왔습니다. 이산가족들이 다시 모였습니다. 찡찡이는 아직 장소가 낯설어 바깥 출입을 잘 못합니다. 대신 내가 TV 뉴스를 볼 때면 착 달라붙어 떨어지려하지 않습니다.",16838.625,14297.5,[-1.0817025  1.1888018],1
2,2017년 5월 5주,78.10%,14.20%,2017-05-28,"바다의 날 기념식은 여러모로 의미 깊었습니다. 14년 만에 대통령이 참석해 해양수산인들의 노고에 감사드렸고 우리 해양수산의 가능성도 확인했습니다. 합창단 어린이들로부터 편지도 받았습니다. 안전한 나라에서 노래하고 싶다는 어린이들의 꿈. 지키겠습니다. 서울요양원에서 치매 환자와 가족들, 치매환자를 돌본 경험이 있는 여러분들을 만났습니다. 대선 때 공약했던 치매국가책임제 실현을 위해 환자와 관계자들의 이야기를 듣기 위해서였습니다. https://goo.gl/cOvmGb",4277.5,6269.0,[0.034302   0.26397148],1
3,2017년 6월 1주,78.90%,14.70%,2017-06-04,"영국 런던에서 일어난 연쇄테러는 무고한 민간인과 어린이를 상대로 저질러진 범죄행위입니다. 저와 대한민국 국민들은 반인륜적 범죄에 크게 분노합니다. https://goo.gl/UvPLg2 ""애국이 보상받고, 정의가 보상받고, 원칙이 보상받고, 정직이 보상받는 나라를 만들어 나갑시다. 개인과 기업의 성공이 애국의 길이 되는 정정당당한 나라를 만들어 나갑시다."" 62회 현충일 추념사입니다. https://goo.gl/wQ5ujt 국가가 존재하는 첫 번째 이유는 국민의 생명과 안전을 지키는 것입니다. 그렇기에 국민 안전을 지키는 소방관들은 국가 그 자체입니다. 이 분들을 위하고 지키는 일에 정부와 국회가 힘을 모아야 합니다. https://goo.gl/RnA8fV어제 현충일 추념식 직후 중앙보훈병원을 방문해 치료중인 유공자와 부상 장병, 그 가족들을 만났습니다. 나라를 위해 헌신하신 분들에게 감사와 보상을 드리는 보훈이야말로 강한 나라로 가는 길입니다. 청와대 공식 트위터가 드디어 문을 열었습니다. 언제나 친구같은 대통령이 되겠다는 저의 약속처럼, 청와대 트위터도 국민과의 소통창구로서 늘 활짝 열어 놓겠습니다. 트친님들의 많은 관심과 조언 부탁드립니다. 항상 소통하겠습니다.",5432.25,6121.75,[0.07814877 0.21776661],1
4,2017년 6월 2주,75.60%,17.40%,2017-06-11,"트위터의 잭 도시 님 감사합니다. 앞으로도 트위터를 통해 국민들과 즐겁게 소통하고 싶습니다. Thank you, @jack. I very much look forward to communicating with people through twitter. 지난 10일 6.10 민주항쟁 기념식에서 특별한 손님을 만났습니다. 친구 이한열의 영정을 든 젊은 우상호 의원과 우현 배우의 사진을 찍은 킴 뉴튼 Kim Newton 씨 입니다. https://goo.gl/IGpjKm 독일 통일의 주역인 콜 총리의 죽음이 안타깝습니다. 위대한 지도자를 잃은 독일 국민들에게 애도의 마음을 보내며 조전을 전달했습니다. 콜 총리가 이끈 독일의 통일은 우리에게도 시사하는 바가 큽니다. https://goo.gl/RjLz1g",3397.666667,4715.666667,[-0.7863109   0.96764755],1
5,2017년 6월 3주,74.20%,18.60%,2017-06-18,,,,[-2.9737089  2.818445 ],1
6,2017년 6월 4주,75.30%,17.30%,2017-06-25,"6.25 전쟁은 아픈 역사입니다. 한반도 땅 대부분이 전쟁의 참상을 겪었고, 분단의 상처와 이산가족의 아픔은 오늘도 계속되고 있습니다. 그럼에도 우리는 앞으로 나아가야 합니다. 앤드류스 기지에 도착하자마자 장진호 전투 기념비로 향했습니다. 제 부모님의 시작이며 저의 뿌리는 전투로 맺어진 한미동맹의 역사 속에 있습니다. 구순의 노병과 장군의 후손들을 만나 감사와 감동을 나눴습니다. https://goo.gl/DdSWHv 동포간담회를 마지막으로 귀국길에 오릅니다. 통합의 대한민국을 만들어달라는 93세 정규석 어르신, 울먹이시며 '꼭 성공한 대통령이 되어달라' 하신 문미순 님과 아들 리안이. 동포 여러분의 당부를 잊지 않겠습니다. 자랑스러운 나라, 꼭 만들겠습니다.",4637.333333,6167.0,[ 0.5205461  -0.34905434],0
7,2017년 7월 1주,76.60%,16.00%,2017-07-02,G20 회의를 위해 독일에 도착했습니다. 북한 미사일 발사로 마음이 무겁습니다만 북한의 도발에 확고한 대응 태세를 보여주도록 지시하고 왔습니다. 첫 다자 외교 무대에서 새 정부의 경제 정책을 소개하고 한반도 평화에 대한 의지를 분명하게 밝히겠습니다.,4502.0,7067.0,[0.0348199 0.2640364],1
8,2017년 7월 2주,74.60%,18.60%,2017-07-09,여민관 집무실 창가에서 청와대 관람 오신 분들께 인사드렸습니다. 찡찡이와 마루 소식을 궁금해 하시는 분들이 계시네요. 소식 전하겠습니다. 날이 덥지만 청와대의 자연은 아름답습니다. 방문하시는 모든 분들이 즐거운 시간 보내시길 바랍니다.,8922.0,11691.0,[-2.9737089  2.818445 ],1
9,2017년 7월 3주,72.40%,19.30%,2017-07-16,"대선 때 모아주셨던 문재인 펀드를 오늘 상환해 드렸습니다. 국민들께서 보내주신 큰 마음, 결코 잊지 않겠습니다. 국정기획자문위원회 활동을 마무리 하는 국정과제 보고대회도 열었습니다. '국민의 나라,정의로운 대한민국' 을 향해, 국민과 함께 가겠습니다.",4393.0,6087.0,[-2.9737089  2.818445 ],1
10,2017년 7월 4주,74.70%,18.70%,2017-07-23,"김군자 할머니의 명복을 빕니다. 강인한 생존자, 용감한 증언자이셨던 할머니. 지난 2015년 12월 31일 나눔의 집에서 할머니를 뵈었을 때 '피해자는 우리' 라고 말씀하셨던 그 모습을 기억합니다. 이제 모든 고통을 내려놓고 하늘에서 평안하십시오.",8159.0,7949.0,[0.20933223 0.15689051],0
11,2017년 8월 1주,72.50%,20.90%,2017-07-30,책도 읽지 않고 무위의 시간을 보낸다는 것이 마음대로 되지 않았습니다. 휴가 중 읽은 는 누구에게나 읽어보기를 권하고 싶은 책 입니다. 당면한 미래의 모습에 공감하고 대비하기 위해 일독을 권합니다.,3942.0,6096.0,[-2.9737089  2.818445 ],1
12,2017년 8월 2주,71.80%,21.30%,2017-08-06,"아침 일찍 트럼프 대통령과 통화했습니다. 북한의 계속된 도발에 따른 한반도의 엄중한 안보상황에 대해 인식을 공유하고, 한.미 양국이 앞으로도 긴밀히 협의, 대응하기로 했습니다. 북한이 핵을 포기할 때 대화의 문이 열려있다는 점에도 공감했습니다. 평창 동계올림픽 200일을 앞두고 홍보대사에 위촉되었는데 어느새 185일 앞으로 다가왔네요. 올림픽에 많은 관심 가져주시고 멋진 대회를 만들기 위해 애쓰시는 선수들과 강원도, 조직위, 많은 분들께 응원을 보내주십시오. #2018평창 #홍보대사 어제 다섯 살 다인이를 만났습니다. 난치병 재발로 투병하면서도 입시 준비를 하는 이경엽 군도 만났습니다. 두 아이의 어머니가 적어주신 편지에는 아픈 자식을 돌보는 부모의 안타까운 심정이 절절했습니다. https://goo.gl/ay96Kp",3231.666667,4260.666667,[-0.40950617  0.730323  ],1
