조사 기간,긍정,부정
2017년 5월 3주,81.60%,10.10%
2017년 5월 4주,84.10%,10.00%
2017년 5월 5주,78.10%,14.20%
2017년 6월 1주,78.90%,14.70%
2017년 6월 2주,75.60%,17.40%
2017년 6월 3주,74.20%,18.60%
2017년 6월 4주,75.30%,17.30%
2017년 7월 1주,76.60%,16.00%
2017년 7월 2주,74.60%,18.60%
2017년 7월 3주,72.40%,19.30%
2017년 7월 4주,74.70%,18.70%
2017년 8월 1주,72.50%,20.90%
2017년 8월 2주,71.80%,21.30%
2017년 8월 3주,72.40%,21.00%
2017년 8월 4주,73.90%,19.70%
2017년 8월 5주,73.40%,21.50%
2017년 9월 1주,69.10%,24.60%
2017년 9월 2주,67.10%,26.80%
2017년 9월 3주,65.60%,29.40%
2017년 9월 4주,67.70%,26.00%
2017년 10월 2주,68.50%,25.80%
2017년 10월 3주,67.80%,27.00%
2017년 10월 4주,67.20%,26.40%
2017년 11월 1주,70.30%,23.90%
2017년 11월 2주,70.10%,24.10%
2017년 11월 3주,71.60%,24.20%
2017년 11월 4주,73.00%,21.40%
2017년 11월 5주,71.50%,22.80%
2017년 12월 1주,70.80%,23.80%
2017년 12월 2주,68.60%,25.70%
2017년 12월 3주,69.90%,25.10%
2017년 12월 4주,68.50%,25.00%
2018년 1월 1주,71.60%,24.10%
2018년 1월 2주,70.60%,23.80%
2018년 1월 3주,66.00%,29.30%
2018년 1월 4주,60.80%,34.60%
2018년 1월 5주,63.50%,32.40%
2018년 2월 1주,63.50%,32.10%
2018년 2월 2주,63.10%,31.50%
2018년 2월 3주,65.70%,28.90%
2018년 2월 4주,66.50%,29.30%
2018년 3월 1주,65.80%,28.20%
2018년 3월 2주,69.60%,23.80%
2018년 3월 3주,69.10%,26.60%
2018년 3월 4주,69.50%,25.60%
2018년 4월 1주,68.10%,25.70%
2018년 4월 2주,66.80%,26.70%
2018년 4월 3주,67.80%,27.80%
2018년 4월 4주,70.00%,24.80%
2018년 5월 1주,77.40%,15.90%
2018년 5월 2주,76.30%,17.70%
2018년 5월 3주,74.80%,20.80%
2018년 5월 4주,72.50%,22.60%
2018년 5월 5주,71.40%,21.90%
2018년 6월 1주,72.30%,21.30%
2018년 6월 2주,75.90%,19.00%
2018년 6월 3주,75.40%,19.10%
2018년 6월 4주,71.50%,22.50%
2018년 7월 1주,69.30%,24.90%
